"id","name","position","salary","image","parentId"
6008,"Tomás Pablo Sampalo Torres","100%",46673,"assets/organigrama/hombre.png",1111
6009,"Rafael Mantaras Durán ","100%",46673,"assets/organigrama/hombre.png",1111
6010,"Manuel Moure Sánchez ","100%",46673,"assets/organigrama/hombre.png",1111
6011,"Aiad Abdel-lah Ahmed ","100%",46673,"assets/organigrama/hombre.png",1111
6012,"Dolores Francisca Vallespí Aubá ","100%",46673,"assets/organigrama/mujer.png",1111
6013,"Cristóbal Ortega Muñoz","50%",21837,"assets/organigrama/hombre.png",1111
6014,"Leopoldo Fernández Vargas-Machuca ","50%",21837,"assets/organigrama/hombre.png",1111
6015,"Juan Alvarado Garrido","50%",21837,"assets/organigrama/hombre.png",1111
6016,"Elvira González Castro","50%",16378,"assets/organigrama/mujer.png",1110
6017,"Javier Mantaras Mechén","50%",16378,"assets/organigrama/hombre.png",1110
6018," Irene Canca Arévalo ","50%",16378,"assets/organigrama/mujer.png",2220
6019," Inmaculada de la Corte Granado ","50%",16378,"assets/organigrama/mujer.png",2220
